size,bytes,usage,minrelaytxfee
4979,1122414,5779936,0.000010000
5028,1133466,5830896,0.000010000
4586,1033789,5361104,0.000010000
4633,1044379,5409984,0.000010000
4681,1055201,5459904,0.000010000
4728,1065796,5508784,0.000010000
4777,1076848,5559744,0.000010000
4826,1087897,5610704,0.000010000
4873,1098493,5659584,0.000010000
4920,1109090,5708464,0.000010000
4968,1119914,5758384,0.000010000
5017,1130964,5809344,0.000010000
5065,1141789,5859264,0.000010000
5114,1152844,5910224,0.000010000
5163,1163892,5961184,0.000010000
5211,1174715,6013792,0.000010000
4804,1082935,5577072,0.000010000
4851,1093537,5625952,0.000010000
4899,1104366,5675872,0.000010000
4947,1115185,5725792,0.000010000
4995,1126006,5775712,0.000010000
4583,1033111,5305632,0.000010000
4630,1043712,5354512,0.000010000
4678,1054530,5404432,0.000010000
4726,1065354,5454352,0.000010000
4774,1076178,5504272,0.000010000
4820,1086552,5556848,0.000010000
4866,1096923,5610576,0.000010000
4911,1107074,5663136,0.000010000
4957,1117456,5716864,0.000010000
5004,1128048,5771760,0.000010000
5049,1138199,5824320,0.000010000
5096,1148797,5879216,0.000010000
5144,1159618,5935280,0.000010000
4733,1066947,5471232,0.000010000
4782,1077994,5522192,0.000010000
4830,1088813,5572112,0.000010000
4876,1099413,5623296,0.000010000
4923,1109783,5677024,0.000010000
4969,1120156,5730752,0.000010000
5016,1130753,5785648,0.000010000
5063,1141355,5840544,0.000010000
5110,1151956,5895440,0.000010000
5156,1162335,5949168,0.000010000
4735,1067404,5469216,0.000010000
4783,1078234,5520176,0.000010000
4834,1089738,5572944,0.000010000
4880,1100118,5626672,0.000010000
4926,1110488,5680400,0.000010000
4972,1120859,5734128,0.000010000
5019,1131462,5789024,0.000010000
5066,1142056,5843920,0.000010000
5114,1152878,5901152,0.000010000
5163,1163927,5957216,0.000010000
5210,1174514,6012112,0.000010000
5257,1185116,6067008,0.000010000
5304,1195717,6121904,0.000010000
5351,1206316,6176800,0.000010000
4913,1107529,5684928,0.000010000
4962,1118579,5735888,0.000010000
5010,1129401,5785808,0.000010000
5057,1139995,5834688,0.000010000
5105,1150814,5889344,0.000010000
4695,1058361,5436320,0.000010000
4743,1069181,5486240,0.000010000
4791,1080001,5536160,0.000010000
4840,1091280,5588160,0.000010000
4889,1102106,5638080,0.000010000
4936,1112703,5691824,0.000010000
4981,1122852,5744384,0.000010000
5028,1133456,5799280,0.000010000
5074,1143831,5853008,0.000010000
5121,1154435,5907904,0.000010000
5168,1165031,5962800,0.000010000
5214,1175405,6016528,0.000010000
5260,1185774,6070256,0.000010000
5307,1196368,6125152,0.000010000
5353,1206967,6181216,0.000010000
4936,1112700,5699376,0.000010000
4984,1123524,5749296,0.000010000
5030,1133892,5801488,0.000010000
5077,1144495,5856384,0.000010000
4651,1048429,5382368,0.000010000
4698,1059029,5431248,0.000010000
4746,1069849,5481168,0.000010000
4793,1080443,5530048,0.000010000
4841,1091264,5580608,0.000010000
4887,1101643,5634336,0.000010000
4933,1112016,5689232,0.000010000
4981,1123062,5745296,0.000010000
5030,1134115,5802528,0.000010000
5077,1144483,5856256,0.000010000
5123,1154858,5909984,0.000010000
4718,1063533,5484688,0.000010000
4766,1074361,5534608,0.000010000
4814,1085188,5584528,0.000010000
4861,1095775,5633408,0.000010000
4908,1106373,5682288,0.000010000
4957,1117418,5733248,0.000010000
5005,1128252,5783168,0.000010000
5052,1138849,5833088,0.000010000
5101,1149896,5884160,0.000010000
5147,1160275,5937888,0.000010000
4741,1068721,5492864,0.000010000
4788,1079324,5541744,0.000010000
4836,1090151,5591664,0.000010000
4883,1100747,5640544,0.000010000
4930,1111344,5689424,0.000010000
4979,1122397,5741536,0.000010000
5027,1133223,5798768,0.000010000
5076,1144270,5854832,0.000010000
4658,1050020,5425504,0.000010000
4707,1061067,5475424,0.000010000
4755,1071892,5525344,0.000010000
4802,1082492,5574224,0.000010000
4851,1093548,5625184,0.000010000
4899,1104370,5675104,0.000010000
4948,1115644,5728144,0.000010000
4999,1127149,5780144,0.000010000
5049,1138199,5831104,0.000010000
4624,1042351,5381808,0.000010000
4673,1053405,5432768,0.000010000
4722,1064453,5483728,0.000010000
4769,1075050,5532608,0.000010000
4816,1085651,5581488,0.000010000
4864,1096472,5631408,0.000010000
4911,1107065,5680288,0.000010000
4959,1117888,5730208,0.000010000
